C,H,S,mem,mem_byte,mem_KB
C 0,H0,S 1,0x00008000,0,0
C 0,H0,S 2,0x00008200,512,0
C 0,H0,S 3,0x00008400,1024,1
C 0,H0,S 4,0x00008600,1536,1
C 0,H0,S 5,0x00008800,2048,2
C 0,H0,S 6,0x00008a00,2560,2
C 0,H0,S 7,0x00008c00,3072,3
C 0,H0,S 8,0x00008e00,3584,3
C 0,H0,S 9,0x00009000,4096,4
C 0,H0,S10,0x00009200,4608,4
C 0,H0,S11,0x00009400,5120,5
C 0,H0,S12,0x00009600,5632,5
C 0,H0,S13,0x00009800,6144,6
C 0,H0,S14,0x00009a00,6656,6
C 0,H0,S15,0x00009c00,7168,7
C 0,H0,S16,0x00009e00,7680,7
C 0,H0,S17,0x0000a000,8192,8
C 0,H0,S18,0x0000a200,8704,8
C 0,H1,S 1,0x0000a400,9216,9
C 0,H1,S 2,0x0000a600,9728,9
C 0,H1,S 3,0x0000a800,10240,10
C 0,H1,S 4,0x0000aa00,10752,10
C 0,H1,S 5,0x0000ac00,11264,11
C 0,H1,S 6,0x0000ae00,11776,11
C 0,H1,S 7,0x0000b000,12288,12
C 0,H1,S 8,0x0000b200,12800,12
C 0,H1,S 9,0x0000b400,13312,13
C 0,H1,S10,0x0000b600,13824,13
C 0,H1,S11,0x0000b800,14336,14
C 0,H1,S12,0x0000ba00,14848,14
C 0,H1,S13,0x0000bc00,15360,15
C 0,H1,S14,0x0000be00,15872,15
C 0,H1,S15,0x0000c000,16384,16
C 0,H1,S16,0x0000c200,16896,16
C 0,H1,S17,0x0000c400,17408,17
C 0,H1,S18,0x0000c600,17920,17
C 1,H0,S 1,0x0000c800,18432,18
C 1,H0,S 2,0x0000ca00,18944,18
C 1,H0,S 3,0x0000cc00,19456,19
C 1,H0,S 4,0x0000ce00,19968,19
C 1,H0,S 5,0x0000d000,20480,20
C 1,H0,S 6,0x0000d200,20992,20
C 1,H0,S 7,0x0000d400,21504,21
C 1,H0,S 8,0x0000d600,22016,21
C 1,H0,S 9,0x0000d800,22528,22
C 1,H0,S10,0x0000da00,23040,22
C 1,H0,S11,0x0000dc00,23552,23
C 1,H0,S12,0x0000de00,24064,23
C 1,H0,S13,0x0000e000,24576,24
C 1,H0,S14,0x0000e200,25088,24
C 1,H0,S15,0x0000e400,25600,25
C 1,H0,S16,0x0000e600,26112,25
C 1,H0,S17,0x0000e800,26624,26
C 1,H0,S18,0x0000ea00,27136,26
C 1,H1,S 1,0x0000ec00,27648,27
C 1,H1,S 2,0x0000ee00,28160,27
C 1,H1,S 3,0x0000f000,28672,28
C 1,H1,S 4,0x0000f200,29184,28
C 1,H1,S 5,0x0000f400,29696,29
C 1,H1,S 6,0x0000f600,30208,29
C 1,H1,S 7,0x0000f800,30720,30
C 1,H1,S 8,0x0000fa00,31232,30
C 1,H1,S 9,0x0000fc00,31744,31
C 1,H1,S10,0x0000fe00,32256,31
C 1,H1,S11,0x00010000,32768,32
C 1,H1,S12,0x00010200,33280,32
C 1,H1,S13,0x00010400,33792,33
C 1,H1,S14,0x00010600,34304,33
C 1,H1,S15,0x00010800,34816,34
C 1,H1,S16,0x00010a00,35328,34
C 1,H1,S17,0x00010c00,35840,35
C 1,H1,S18,0x00010e00,36352,35
C 2,H0,S 1,0x00011000,36864,36
C 2,H0,S 2,0x00011200,37376,36
C 2,H0,S 3,0x00011400,37888,37
C 2,H0,S 4,0x00011600,38400,37
C 2,H0,S 5,0x00011800,38912,38
C 2,H0,S 6,0x00011a00,39424,38
C 2,H0,S 7,0x00011c00,39936,39
C 2,H0,S 8,0x00011e00,40448,39
C 2,H0,S 9,0x00012000,40960,40
C 2,H0,S10,0x00012200,41472,40
C 2,H0,S11,0x00012400,41984,41
C 2,H0,S12,0x00012600,42496,41
C 2,H0,S13,0x00012800,43008,42
C 2,H0,S14,0x00012a00,43520,42
C 2,H0,S15,0x00012c00,44032,43
C 2,H0,S16,0x00012e00,44544,43
C 2,H0,S17,0x00013000,45056,44
C 2,H0,S18,0x00013200,45568,44
C 2,H1,S 1,0x00013400,46080,45
C 2,H1,S 2,0x00013600,46592,45
C 2,H1,S 3,0x00013800,47104,46
C 2,H1,S 4,0x00013a00,47616,46
C 2,H1,S 5,0x00013c00,48128,47
C 2,H1,S 6,0x00013e00,48640,47
C 2,H1,S 7,0x00014000,49152,48
C 2,H1,S 8,0x00014200,49664,48
C 2,H1,S 9,0x00014400,50176,49
C 2,H1,S10,0x00014600,50688,49
C 2,H1,S11,0x00014800,51200,50
C 2,H1,S12,0x00014a00,51712,50
C 2,H1,S13,0x00014c00,52224,51
C 2,H1,S14,0x00014e00,52736,51
C 2,H1,S15,0x00015000,53248,52
C 2,H1,S16,0x00015200,53760,52
C 2,H1,S17,0x00015400,54272,53
C 2,H1,S18,0x00015600,54784,53
C 3,H0,S 1,0x00015800,55296,54
C 3,H0,S 2,0x00015a00,55808,54
C 3,H0,S 3,0x00015c00,56320,55
C 3,H0,S 4,0x00015e00,56832,55
C 3,H0,S 5,0x00016000,57344,56
C 3,H0,S 6,0x00016200,57856,56
C 3,H0,S 7,0x00016400,58368,57
C 3,H0,S 8,0x00016600,58880,57
C 3,H0,S 9,0x00016800,59392,58
C 3,H0,S10,0x00016a00,59904,58
C 3,H0,S11,0x00016c00,60416,59
C 3,H0,S12,0x00016e00,60928,59
C 3,H0,S13,0x00017000,61440,60
C 3,H0,S14,0x00017200,61952,60
C 3,H0,S15,0x00017400,62464,61
C 3,H0,S16,0x00017600,62976,61
C 3,H0,S17,0x00017800,63488,62
C 3,H0,S18,0x00017a00,64000,62
C 3,H1,S 1,0x00017c00,64512,63
C 3,H1,S 2,0x00017e00,65024,63
C 3,H1,S 3,0x00018000,65536,64
C 3,H1,S 4,0x00018200,66048,64
C 3,H1,S 5,0x00018400,66560,65
C 3,H1,S 6,0x00018600,67072,65
C 3,H1,S 7,0x00018800,67584,66
C 3,H1,S 8,0x00018a00,68096,66
C 3,H1,S 9,0x00018c00,68608,67
C 3,H1,S10,0x00018e00,69120,67
C 3,H1,S11,0x00019000,69632,68
C 3,H1,S12,0x00019200,70144,68
C 3,H1,S13,0x00019400,70656,69
C 3,H1,S14,0x00019600,71168,69
C 3,H1,S15,0x00019800,71680,70
C 3,H1,S16,0x00019a00,72192,70
C 3,H1,S17,0x00019c00,72704,71
C 3,H1,S18,0x00019e00,73216,71
C 4,H0,S 1,0x0001a000,73728,72
C 4,H0,S 2,0x0001a200,74240,72
C 4,H0,S 3,0x0001a400,74752,73
C 4,H0,S 4,0x0001a600,75264,73
C 4,H0,S 5,0x0001a800,75776,74
C 4,H0,S 6,0x0001aa00,76288,74
C 4,H0,S 7,0x0001ac00,76800,75
C 4,H0,S 8,0x0001ae00,77312,75
C 4,H0,S 9,0x0001b000,77824,76
C 4,H0,S10,0x0001b200,78336,76
C 4,H0,S11,0x0001b400,78848,77
C 4,H0,S12,0x0001b600,79360,77
C 4,H0,S13,0x0001b800,79872,78
C 4,H0,S14,0x0001ba00,80384,78
C 4,H0,S15,0x0001bc00,80896,79
C 4,H0,S16,0x0001be00,81408,79
C 4,H0,S17,0x0001c000,81920,80
C 4,H0,S18,0x0001c200,82432,80
C 4,H1,S 1,0x0001c400,82944,81
C 4,H1,S 2,0x0001c600,83456,81
C 4,H1,S 3,0x0001c800,83968,82
C 4,H1,S 4,0x0001ca00,84480,82
C 4,H1,S 5,0x0001cc00,84992,83
C 4,H1,S 6,0x0001ce00,85504,83
C 4,H1,S 7,0x0001d000,86016,84
C 4,H1,S 8,0x0001d200,86528,84
C 4,H1,S 9,0x0001d400,87040,85
C 4,H1,S10,0x0001d600,87552,85
C 4,H1,S11,0x0001d800,88064,86
C 4,H1,S12,0x0001da00,88576,86
C 4,H1,S13,0x0001dc00,89088,87
C 4,H1,S14,0x0001de00,89600,87
C 4,H1,S15,0x0001e000,90112,88
C 4,H1,S16,0x0001e200,90624,88
C 4,H1,S17,0x0001e400,91136,89
C 4,H1,S18,0x0001e600,91648,89
C 5,H0,S 1,0x0001e800,92160,90
C 5,H0,S 2,0x0001ea00,92672,90
C 5,H0,S 3,0x0001ec00,93184,91
C 5,H0,S 4,0x0001ee00,93696,91
C 5,H0,S 5,0x0001f000,94208,92
C 5,H0,S 6,0x0001f200,94720,92
C 5,H0,S 7,0x0001f400,95232,93
C 5,H0,S 8,0x0001f600,95744,93
C 5,H0,S 9,0x0001f800,96256,94
C 5,H0,S10,0x0001fa00,96768,94
C 5,H0,S11,0x0001fc00,97280,95
C 5,H0,S12,0x0001fe00,97792,95
C 5,H0,S13,0x00020000,98304,96
C 5,H0,S14,0x00020200,98816,96
C 5,H0,S15,0x00020400,99328,97
C 5,H0,S16,0x00020600,99840,97
C 5,H0,S17,0x00020800,100352,98
C 5,H0,S18,0x00020a00,100864,98
C 5,H1,S 1,0x00020c00,101376,99
C 5,H1,S 2,0x00020e00,101888,99
C 5,H1,S 3,0x00021000,102400,100
C 5,H1,S 4,0x00021200,102912,100
C 5,H1,S 5,0x00021400,103424,101
C 5,H1,S 6,0x00021600,103936,101
C 5,H1,S 7,0x00021800,104448,102
C 5,H1,S 8,0x00021a00,104960,102
C 5,H1,S 9,0x00021c00,105472,103
C 5,H1,S10,0x00021e00,105984,103
C 5,H1,S11,0x00022000,106496,104
C 5,H1,S12,0x00022200,107008,104
C 5,H1,S13,0x00022400,107520,105
C 5,H1,S14,0x00022600,108032,105
C 5,H1,S15,0x00022800,108544,106
C 5,H1,S16,0x00022a00,109056,106
C 5,H1,S17,0x00022c00,109568,107
C 5,H1,S18,0x00022e00,110080,107
C 6,H0,S 1,0x00023000,110592,108
C 6,H0,S 2,0x00023200,111104,108
C 6,H0,S 3,0x00023400,111616,109
C 6,H0,S 4,0x00023600,112128,109
C 6,H0,S 5,0x00023800,112640,110
C 6,H0,S 6,0x00023a00,113152,110
C 6,H0,S 7,0x00023c00,113664,111
C 6,H0,S 8,0x00023e00,114176,111
C 6,H0,S 9,0x00024000,114688,112
C 6,H0,S10,0x00024200,115200,112
C 6,H0,S11,0x00024400,115712,113
C 6,H0,S12,0x00024600,116224,113
C 6,H0,S13,0x00024800,116736,114
C 6,H0,S14,0x00024a00,117248,114
C 6,H0,S15,0x00024c00,117760,115
C 6,H0,S16,0x00024e00,118272,115
C 6,H0,S17,0x00025000,118784,116
C 6,H0,S18,0x00025200,119296,116
C 6,H1,S 1,0x00025400,119808,117
C 6,H1,S 2,0x00025600,120320,117
C 6,H1,S 3,0x00025800,120832,118
C 6,H1,S 4,0x00025a00,121344,118
C 6,H1,S 5,0x00025c00,121856,119
C 6,H1,S 6,0x00025e00,122368,119
C 6,H1,S 7,0x00026000,122880,120
C 6,H1,S 8,0x00026200,123392,120
C 6,H1,S 9,0x00026400,123904,121
C 6,H1,S10,0x00026600,124416,121
C 6,H1,S11,0x00026800,124928,122
C 6,H1,S12,0x00026a00,125440,122
C 6,H1,S13,0x00026c00,125952,123
C 6,H1,S14,0x00026e00,126464,123
C 6,H1,S15,0x00027000,126976,124
C 6,H1,S16,0x00027200,127488,124
C 6,H1,S17,0x00027400,128000,125
C 6,H1,S18,0x00027600,128512,125
C 7,H0,S 1,0x00027800,129024,126
C 7,H0,S 2,0x00027a00,129536,126
C 7,H0,S 3,0x00027c00,130048,127
C 7,H0,S 4,0x00027e00,130560,127
C 7,H0,S 5,0x00028000,131072,128
C 7,H0,S 6,0x00028200,131584,128
C 7,H0,S 7,0x00028400,132096,129
C 7,H0,S 8,0x00028600,132608,129
C 7,H0,S 9,0x00028800,133120,130
C 7,H0,S10,0x00028a00,133632,130
C 7,H0,S11,0x00028c00,134144,131
C 7,H0,S12,0x00028e00,134656,131
C 7,H0,S13,0x00029000,135168,132
C 7,H0,S14,0x00029200,135680,132
C 7,H0,S15,0x00029400,136192,133
C 7,H0,S16,0x00029600,136704,133
C 7,H0,S17,0x00029800,137216,134
C 7,H0,S18,0x00029a00,137728,134
C 7,H1,S 1,0x00029c00,138240,135
C 7,H1,S 2,0x00029e00,138752,135
C 7,H1,S 3,0x0002a000,139264,136
C 7,H1,S 4,0x0002a200,139776,136
C 7,H1,S 5,0x0002a400,140288,137
C 7,H1,S 6,0x0002a600,140800,137
C 7,H1,S 7,0x0002a800,141312,138
C 7,H1,S 8,0x0002aa00,141824,138
C 7,H1,S 9,0x0002ac00,142336,139
C 7,H1,S10,0x0002ae00,142848,139
C 7,H1,S11,0x0002b000,143360,140
C 7,H1,S12,0x0002b200,143872,140
C 7,H1,S13,0x0002b400,144384,141
C 7,H1,S14,0x0002b600,144896,141
C 7,H1,S15,0x0002b800,145408,142
C 7,H1,S16,0x0002ba00,145920,142
C 7,H1,S17,0x0002bc00,146432,143
C 7,H1,S18,0x0002be00,146944,143
C 8,H0,S 1,0x0002c000,147456,144
C 8,H0,S 2,0x0002c200,147968,144
C 8,H0,S 3,0x0002c400,148480,145
C 8,H0,S 4,0x0002c600,148992,145
C 8,H0,S 5,0x0002c800,149504,146
C 8,H0,S 6,0x0002ca00,150016,146
C 8,H0,S 7,0x0002cc00,150528,147
C 8,H0,S 8,0x0002ce00,151040,147
C 8,H0,S 9,0x0002d000,151552,148
C 8,H0,S10,0x0002d200,152064,148
C 8,H0,S11,0x0002d400,152576,149
C 8,H0,S12,0x0002d600,153088,149
C 8,H0,S13,0x0002d800,153600,150
C 8,H0,S14,0x0002da00,154112,150
C 8,H0,S15,0x0002dc00,154624,151
C 8,H0,S16,0x0002de00,155136,151
C 8,H0,S17,0x0002e000,155648,152
C 8,H0,S18,0x0002e200,156160,152
C 8,H1,S 1,0x0002e400,156672,153
C 8,H1,S 2,0x0002e600,157184,153
C 8,H1,S 3,0x0002e800,157696,154
C 8,H1,S 4,0x0002ea00,158208,154
C 8,H1,S 5,0x0002ec00,158720,155
C 8,H1,S 6,0x0002ee00,159232,155
C 8,H1,S 7,0x0002f000,159744,156
C 8,H1,S 8,0x0002f200,160256,156
C 8,H1,S 9,0x0002f400,160768,157
C 8,H1,S10,0x0002f600,161280,157
C 8,H1,S11,0x0002f800,161792,158
C 8,H1,S12,0x0002fa00,162304,158
C 8,H1,S13,0x0002fc00,162816,159
C 8,H1,S14,0x0002fe00,163328,159
C 8,H1,S15,0x00030000,163840,160
C 8,H1,S16,0x00030200,164352,160
C 8,H1,S17,0x00030400,164864,161
C 8,H1,S18,0x00030600,165376,161
C 9,H0,S 1,0x00030800,165888,162
C 9,H0,S 2,0x00030a00,166400,162
C 9,H0,S 3,0x00030c00,166912,163
C 9,H0,S 4,0x00030e00,167424,163
C 9,H0,S 5,0x00031000,167936,164
C 9,H0,S 6,0x00031200,168448,164
C 9,H0,S 7,0x00031400,168960,165
C 9,H0,S 8,0x00031600,169472,165
C 9,H0,S 9,0x00031800,169984,166
C 9,H0,S10,0x00031a00,170496,166
C 9,H0,S11,0x00031c00,171008,167
C 9,H0,S12,0x00031e00,171520,167
C 9,H0,S13,0x00032000,172032,168
C 9,H0,S14,0x00032200,172544,168
C 9,H0,S15,0x00032400,173056,169
C 9,H0,S16,0x00032600,173568,169
C 9,H0,S17,0x00032800,174080,170
C 9,H0,S18,0x00032a00,174592,170
C 9,H1,S 1,0x00032c00,175104,171
C 9,H1,S 2,0x00032e00,175616,171
C 9,H1,S 3,0x00033000,176128,172
C 9,H1,S 4,0x00033200,176640,172
C 9,H1,S 5,0x00033400,177152,173
C 9,H1,S 6,0x00033600,177664,173
C 9,H1,S 7,0x00033800,178176,174
C 9,H1,S 8,0x00033a00,178688,174
C 9,H1,S 9,0x00033c00,179200,175
C 9,H1,S10,0x00033e00,179712,175
C 9,H1,S11,0x00034000,180224,176
C 9,H1,S12,0x00034200,180736,176
C 9,H1,S13,0x00034400,181248,177
C 9,H1,S14,0x00034600,181760,177
C 9,H1,S15,0x00034800,182272,178
C 9,H1,S16,0x00034a00,182784,178
C 9,H1,S17,0x00034c00,183296,179
C 9,H1,S18,0x00034e00,183808,179
C10,H0,S 1,0x00035000,184320,180
